image,class
Pat1Test_121_0,0.766675028
Pat1Test_122_0,0.314036226
Pat1Test_123_0,0.527675677
Pat1Test_124_0,0.611238296
Pat1Test_125_0,0.251336896
Pat1Test_126_0,0.497225871
Pat1Test_127_0,0.490840193
Pat1Test_128_0,0.592395963
Pat1Test_129_0,0.31701961
Pat1Test_130_0,0.492186204
Pat1Test_131_0,0.2189083
Pat1Test_132_0,0.482242716
Pat1Test_133_0,0.339345011
Pat1Test_134_0,0.497225871
Pat1Test_135_0,0.493749583
Pat1Test_136_0,0.690377127
Pat1Test_137_0,0.655691131
Pat1Test_138_0,0.575793176
Pat1Test_139_0,0.735541334
Pat1Test_140_0,0.824817328
Pat1Test_141_0,0.188678941
Pat1Test_142_0,0.331810673
Pat1Test_143_0,0.730717883
Pat1Test_144_0,0.652407661
Pat1Test_145_0,0.449554991
Pat1Test_146_0,0.248589743
Pat1Test_147_0,0.752671935
Pat1Test_148_0,0.771200351
Pat1Test_149_0,0.646520605
Pat1Test_150_0,0.732658234
Pat1Test_151_0,0.196364715
Pat1Test_152_0,0.733000847
Pat1Test_153_0,0.615822056
Pat1Test_154_0,0.69869502
Pat1Test_155_0,0.33798725
Pat1Test_156_0,0.656542716
Pat1Test_157_0,0.305840008
Pat1Test_158_0,0.564828157
Pat1Test_159_0,0.288511808
Pat1Test_160_0,0.637129824
Pat1Test_161_0,0.323803526
Pat1Test_162_0,0.652476345
Pat1Test_163_0,0.675711371
Pat1Test_164_0,0.575432788
Pat1Test_165_0,0.29857267
Pat1Test_166_0,0.257332913
Pat1Test_167_0,0.497225871
Pat1Test_168_0,0.366583419
Pat1Test_169_0,0.522123286
Pat1Test_170_0,0.519193981
Pat1Test_171_0,0.52947505
Pat1Test_172_0,0.25208493
Pat1Test_173_0,0.202980638
Pat1Test_174_0,0.780271596
Pat1Test_175_0,0.581759035
Pat1Test_176_0,0.329999673
Pat1Test_177_0,0.274656743
Pat1Test_178_0,0.40039512
Pat1Test_179_0,0.697203653
Pat1Test_180_0,0.677632622
Pat1Test_181_0,0.497225871
Pat1Test_182_0,0.305945644
Pat1Test_183_0,0.614628995
Pat1Test_184_0,0.904394463
Pat1Test_185_0,0.156072315
Pat1Test_186_0,0.362213491
Pat1Test_187_0,0.610627169
Pat1Test_188_0,0.36805365
Pat1Test_189_0,0.504220866
Pat1Test_190_0,0.445694523
Pat1Test_191_0,0.653816483
Pat1Test_192_0,0.900446164
Pat1Test_193_0,0.51433316
Pat1Test_194_0,0.829153857
Pat1Test_195_0,0.689023675
Pat1Test_196_0,0.73738964
Pat1Test_197_0,0.570668094
Pat1Test_198_0,0.583406689
Pat1Test_199_0,0.612791684
Pat1Test_200_0,0.554907831
Pat1Test_201_0,0.390483874
Pat1Test_202_0,0.611975847
Pat1Test_203_0,0.583925016
Pat1Test_204_0,0.574687819
Pat1Test_205_0,0.594697752
Pat1Test_206_0,0.382961723
Pat1Test_207_0,0.578176485
Pat1Test_208_0,0.386921694
Pat1Test_209_0,0.28434342
Pat1Test_210_0,0.497225871
Pat1Test_211_0,0.285796066
Pat1Test_212_0,0.362536705
Pat1Test_213_0,0.391999678
Pat1Test_214_0,0.583679134
Pat1Test_215_0,0.774642227
Pat1Test_216_0,0.323741191
Pat2Test_1_0,0.681012563
Pat2Test_2_0,0.640414711
Pat2Test_3_0,0.779319807
Pat2Test_4_0,0.428950344
Pat2Test_5_0,0.402199858
Pat2Test_6_0,0.476161073
Pat2Test_7_0,0.540150676
Pat2Test_8_0,0.389830918
Pat2Test_9_0,0.502774129
Pat2Test_10_0,0.711603529
Pat2Test_11_0,0.790769328
Pat2Test_12_0,0.676502897
Pat2Test_13_0,0.438153625
Pat2Test_14_0,0.437658309
Pat2Test_15_0,0.419484084
Pat2Test_16_0,0.335774253
Pat2Test_17_0,0.273429138
Pat2Test_18_0,0.693116935
Pat2Test_19_0,0.458288777
Pat2Test_20_0,0.762808955
Pat2Test_21_0,0.48731562
Pat2Test_22_0,0.668571199
Pat2Test_23_0,0.617031647
Pat2Test_24_0,0.39969874
Pat2Test_25_0,0.353500791
Pat2Test_26_0,0.215375118
Pat2Test_27_0,0.49936032
Pat2Test_28_0,0.597604697
Pat2Test_29_0,0.702925738
Pat2Test_30_0,0.194023681
Pat2Test_31_0,0.777981902
Pat2Test_32_0,0.533704033
Pat2Test_33_0,0.575302651
Pat2Test_34_0,0.430286274
Pat2Test_35_0,0.346342906
Pat2Test_36_0,0.477319666
Pat2Test_37_0,0.547145028
Pat2Test_38_0,0.291939128
Pat2Test_39_0,0.368659811
Pat2Test_40_0,0.389862374
Pat2Test_41_0,0.502774129
Pat2Test_42_0,0.502774129
Pat2Test_43_0,0.352334802
Pat2Test_44_0,0.373421974
Pat2Test_45_0,0.295973975
Pat2Test_46_0,0.733161486
Pat2Test_47_0,0.220863112
Pat2Test_48_0,0.756681991
Pat2Test_49_0,0.468502939
Pat2Test_50_0,0.420792778
Pat2Test_51_0,0.581601707
Pat2Test_52_0,0.299381859
Pat2Test_53_0,0.46354004
Pat2Test_54_0,0.687262143
Pat2Test_55_0,0.176652736
Pat2Test_56_0,0.697922101
Pat2Test_57_0,0.19453565
Pat2Test_58_0,0.57434221
Pat2Test_59_0,0.502774129
Pat2Test_60_0,0.643303713
Pat2Test_61_0,0.307640234
Pat2Test_62_0,0.407551276
Pat2Test_63_0,0.768595551
Pat2Test_64_0,0.447049595
Pat2Test_65_0,0.463001193
Pat2Test_66_0,0.887764817
Pat2Test_67_0,0.313933862
Pat2Test_68_0,0.426380679
Pat2Test_69_0,0.232024428
Pat2Test_70_0,0.390934729
Pat2Test_71_0,0.114311176
Pat2Test_72_0,0.449879632
Pat2Test_73_0,0.661073079
Pat2Test_74_0,0.490268322
Pat2Test_75_0,0.607465798
Pat2Test_76_0,0.457945183
Pat2Test_77_0,0.487043052
Pat2Test_78_0,0.398082813
Pat2Test_79_0,0.502774129
Pat2Test_80_0,0.112304969
Pat2Test_81_0,0.633433487
Pat2Test_82_0,0.654707054
Pat2Test_83_0,0.264301564
Pat2Test_84_0,0.429158963
Pat2Test_85_0,0.168779409
Pat2Test_86_0,0.769435277
Pat2Test_87_0,0.440550463
Pat2Test_88_0,0.362366066
Pat2Test_89_0,0.11227672
Pat2Test_90_0,0.381664697
Pat2Test_91_0,0.581112099
Pat2Test_92_0,0.311599252
Pat2Test_93_0,0.454551934
Pat2Test_94_0,0.419417176
Pat2Test_95_0,0.398539878
Pat2Test_96_0,0.722618806
Pat2Test_97_0,0.434697324
Pat2Test_98_0,0.76931771
Pat2Test_99_0,0.409068471
Pat2Test_100_0,0.457363673
Pat2Test_101_0,0.44559605
Pat2Test_102_0,0.779873364
Pat2Test_103_0,0.515407971
Pat2Test_104_0,0.443563875
Pat2Test_105_0,0.502774129
Pat2Test_106_0,0.50376291
Pat2Test_107_0,0.374361629
Pat2Test_108_0,0.524922151
Pat2Test_109_0,0.537536481
Pat2Test_110_0,0.300688244
Pat2Test_111_0,0.453685265
Pat2Test_112_0,0.605417925
Pat2Test_113_0,0.657385456
Pat2Test_114_0,0.56975181
Pat2Test_115_0,0.210017256
Pat2Test_116_0,0.324673023
Pat2Test_117_0,0.642474781
Pat2Test_118_0,0.53751115
Pat2Test_119_0,0.641459076
Pat2Test_120_0,0.674838152
Pat2Test_121_0,0.233324972
Pat2Test_122_0,0.685963774
Pat2Test_123_0,0.472324323
Pat2Test_124_0,0.388761704
Pat2Test_125_0,0.748663104
Pat2Test_126_0,0.502774129
Pat2Test_127_0,0.509159807
Pat2Test_128_0,0.407604037
Pat2Test_129_0,0.68298039
Pat2Test_130_0,0.507813796
Pat2Test_131_0,0.7810917
Pat2Test_132_0,0.517757284
Pat2Test_133_0,0.660654989
Pat2Test_134_0,0.502774129
Pat2Test_135_0,0.506250417
Pat2Test_136_0,0.309622873
Pat2Test_137_0,0.344308869
Pat2Test_138_0,0.424206824
Pat2Test_139_0,0.264458666
Pat2Test_140_0,0.175182672
Pat2Test_141_0,0.811321059
Pat2Test_142_0,0.668189327
Pat2Test_143_0,0.269282117
Pat2Test_144_0,0.347592339
Pat2Test_145_0,0.550445009
Pat2Test_146_0,0.751410257
Pat2Test_147_0,0.247328065
Pat2Test_148_0,0.228799649
Pat2Test_149_0,0.353479395
Pat2Test_150_0,0.267341766
Pat2Test_151_0,0.803635285
Pat2Test_152_0,0.266999153
Pat2Test_153_0,0.384177944
Pat2Test_154_0,0.30130498
Pat2Test_155_0,0.66201275
Pat2Test_156_0,0.343457284
Pat2Test_157_0,0.694159992
Pat2Test_158_0,0.435171843
Pat2Test_159_0,0.711488192
Pat2Test_160_0,0.362870176
Pat2Test_161_0,0.676196474
Pat2Test_162_0,0.347523655
Pat2Test_163_0,0.324288629
Pat2Test_164_0,0.424567212
Pat2Test_165_0,0.70142733
Pat2Test_166_0,0.742667087
Pat2Test_167_0,0.502774129
Pat2Test_168_0,0.633416581
Pat2Test_169_0,0.477876714
Pat2Test_170_0,0.480806019
Pat2Test_171_0,0.47052495
Pat2Test_172_0,0.74791507
Pat2Test_173_0,0.797019362
Pat2Test_174_0,0.219728404
Pat2Test_175_0,0.418240965
Pat2Test_176_0,0.670000327
Pat2Test_177_0,0.725343257
Pat2Test_178_0,0.59960488
Pat2Test_179_0,0.302796347
Pat2Test_180_0,0.322367378
Pat2Test_181_0,0.502774129
Pat2Test_182_0,0.694054356
Pat2Test_183_0,0.385371005
Pat2Test_184_0,0.095605537
Pat2Test_185_0,0.843927685
Pat2Test_186_0,0.637786509
Pat2Test_187_0,0.389372831
Pat2Test_188_0,0.63194635
Pat2Test_189_0,0.495779134
Pat2Test_190_0,0.554305477
Pat2Test_191_0,0.346183517
Pat2Test_192_0,0.099553836
Pat2Test_193_0,0.48566684
Pat2Test_194_0,0.170846143
Pat2Test_195_0,0.310976325
Pat2Test_196_0,0.26261036
Pat2Test_197_0,0.429331906
Pat2Test_198_0,0.416593311
Pat2Test_199_0,0.387208316
Pat2Test_200_0,0.445092169
Pat2Test_201_0,0.609516126
Pat2Test_202_0,0.388024153
Pat2Test_203_0,0.416074984
Pat2Test_204_0,0.425312181
Pat2Test_205_0,0.405302248
Pat2Test_206_0,0.617038277
Pat2Test_207_0,0.421823515
Pat2Test_208_0,0.613078306
Pat2Test_209_0,0.71565658
Pat2Test_210_0,0.502774129
Pat2Test_211_0,0.714203934
Pat2Test_212_0,0.637463295
Pat2Test_213_0,0.608000322
Pat2Test_214_0,0.416320866
Pat2Test_215_0,0.225357773
Pat2Test_216_0,0.676258809
Pat2Test_217_0,0.681012563
Pat2Test_218_0,0.640414711
Pat2Test_219_0,0.779319807
Pat2Test_220_0,0.428950344
Pat2Test_221_0,0.402199858
Pat2Test_222_0,0.476161073
Pat2Test_223_0,0.540150676
Pat2Test_224_0,0.389830918
Pat2Test_225_0,0.502774129
Pat2Test_226_0,0.711603529
Pat2Test_227_0,0.790769328
Pat2Test_228_0,0.676502897
Pat2Test_229_0,0.438153625
Pat2Test_230_0,0.437658309
Pat2Test_231_0,0.419484084
Pat2Test_232_0,0.335774253
Pat2Test_233_0,0.273429138
Pat2Test_234_0,0.693116935
Pat2Test_235_0,0.458288777
Pat2Test_236_0,0.762808955
Pat2Test_237_0,0.48731562
Pat2Test_238_0,0.668571199
Pat2Test_239_0,0.617031647
Pat2Test_240_0,0.39969874
Pat2Test_241_0,0.353500791
Pat2Test_242_0,0.215375118
Pat2Test_243_0,0.49936032
Pat2Test_244_0,0.597604697
Pat2Test_245_0,0.702925738
Pat2Test_246_0,0.194023681
Pat2Test_247_0,0.777981902
Pat2Test_248_0,0.533704033
Pat2Test_249_0,0.575302651
Pat2Test_250_0,0.430286274
Pat2Test_251_0,0.346342906
Pat2Test_252_0,0.477319666
Pat2Test_253_0,0.547145028
Pat2Test_254_0,0.291939128
Pat2Test_255_0,0.368659811
Pat2Test_256_0,0.389862374
Pat2Test_257_0,0.502774129
Pat2Test_258_0,0.502774129
Pat2Test_259_0,0.352334802
Pat2Test_260_0,0.373421974
Pat2Test_261_0,0.295973975
Pat2Test_262_0,0.733161486
Pat2Test_263_0,0.220863112
Pat2Test_264_0,0.756681991
Pat2Test_265_0,0.468502939
Pat2Test_266_0,0.420792778
Pat2Test_267_0,0.581601707
Pat2Test_268_0,0.299381859
Pat2Test_269_0,0.46354004
Pat2Test_270_0,0.687262143
Pat2Test_271_0,0.176652736
Pat2Test_272_0,0.697922101
Pat2Test_273_0,0.19453565
Pat2Test_274_0,0.57434221
Pat2Test_275_0,0.502774129
Pat2Test_276_0,0.643303713
Pat2Test_277_0,0.307640234
Pat2Test_278_0,0.407551276
Pat2Test_279_0,0.768595551
Pat2Test_280_0,0.447049595
Pat2Test_281_0,0.463001193
Pat2Test_282_0,0.887764817
Pat2Test_283_0,0.313933862
Pat2Test_284_0,0.426380679
Pat2Test_285_0,0.232024428
Pat2Test_286_0,0.390934729
Pat2Test_287_0,0.114311176
Pat2Test_288_0,0.449879632
Pat2Test_289_0,0.661073079
Pat2Test_290_0,0.490268322
Pat2Test_291_0,0.607465798
Pat2Test_292_0,0.457945183
Pat2Test_293_0,0.487043052
Pat2Test_294_0,0.398082813
Pat2Test_295_0,0.502774129
Pat2Test_296_0,0.112304969
Pat2Test_297_0,0.633433487
Pat2Test_298_0,0.654707054
Pat2Test_299_0,0.264301564
Pat2Test_300_0,0.429158963
Pat2Test_301_0,0.168779409
Pat2Test_302_0,0.769435277
Pat2Test_303_0,0.440550463
Pat2Test_304_0,0.362366066
Pat2Test_305_0,0.11227672
Pat2Test_306_0,0.381664697
Pat2Test_307_0,0.581112099
Pat2Test_308_0,0.311599252
Pat2Test_309_0,0.454551934
Pat2Test_310_0,0.419417176
Pat2Test_311_0,0.398539878
Pat2Test_312_0,0.722618806
Pat2Test_313_0,0.434697324
Pat2Test_314_0,0.76931771
Pat2Test_315_0,0.409068471
Pat2Test_316_0,0.457363673
Pat2Test_317_0,0.44559605
Pat2Test_318_0,0.779873364
Pat2Test_319_0,0.515407971
Pat2Test_320_0,0.443563875
Pat2Test_321_0,0.502774129
Pat2Test_322_0,0.50376291
Pat2Test_323_0,0.374361629
Pat2Test_324_0,0.524922151
Pat2Test_325_0,0.537536481
Pat2Test_326_0,0.300688244
Pat2Test_327_0,0.453685265
Pat2Test_328_0,0.605417925
Pat2Test_329_0,0.657385456
Pat2Test_330_0,0.56975181
Pat2Test_331_0,0.210017256
Pat2Test_332_0,0.324673023
Pat2Test_333_0,0.642474781
Pat2Test_334_0,0.53751115
Pat2Test_335_0,0.641459076
Pat2Test_336_0,0.674838152
Pat2Test_337_0,0.233324972
Pat2Test_338_0,0.685963774
Pat2Test_339_0,0.472324323
Pat2Test_340_0,0.388761704
Pat2Test_341_0,0.748663104
Pat2Test_342_0,0.502774129
Pat2Test_343_0,0.509159807
Pat2Test_344_0,0.407604037
Pat2Test_345_0,0.68298039
Pat2Test_346_0,0.507813796
Pat2Test_347_0,0.7810917
Pat2Test_348_0,0.517757284
Pat2Test_349_0,0.660654989
Pat2Test_350_0,0.502774129
Pat2Test_351_0,0.506250417
Pat2Test_352_0,0.309622873
Pat2Test_353_0,0.344308869
Pat2Test_354_0,0.424206824
Pat2Test_355_0,0.264458666
Pat2Test_356_0,0.175182672
Pat2Test_357_0,0.811321059
Pat2Test_358_0,0.668189327
Pat2Test_359_0,0.269282117
Pat2Test_360_0,0.347592339
Pat2Test_361_0,0.550445009
Pat2Test_362_0,0.751410257
Pat2Test_363_0,0.247328065
Pat2Test_364_0,0.228799649
Pat2Test_365_0,0.353479395
Pat2Test_366_0,0.267341766
Pat2Test_367_0,0.803635285
Pat2Test_368_0,0.266999153
Pat2Test_369_0,0.384177944
Pat2Test_370_0,0.30130498
Pat2Test_371_0,0.66201275
Pat2Test_372_0,0.343457284
Pat2Test_373_0,0.694159992
Pat2Test_374_0,0.435171843
Pat2Test_375_0,0.711488192
Pat2Test_376_0,0.362870176
Pat2Test_377_0,0.676196474
Pat2Test_378_0,0.347523655
Pat2Test_379_0,0.324288629
Pat2Test_380_0,0.424567212
Pat2Test_381_0,0.70142733
Pat2Test_382_0,0.742667087
Pat2Test_383_0,0.502774129
Pat2Test_384_0,0.633416581
Pat2Test_385_0,0.477876714
Pat2Test_386_0,0.480806019
Pat2Test_387_0,0.47052495
Pat2Test_388_0,0.74791507
Pat2Test_389_0,0.797019362
Pat2Test_390_0,0.219728404
Pat2Test_391_0,0.418240965
Pat2Test_392_0,0.670000327
Pat2Test_393_0,0.725343257
Pat2Test_394_0,0.59960488
Pat2Test_395_0,0.302796347
Pat2Test_396_0,0.322367378
Pat2Test_397_0,0.502774129
Pat2Test_398_0,0.694054356
Pat2Test_399_0,0.385371005
Pat2Test_400_0,0.095605537
Pat2Test_401_0,0.843927685
Pat2Test_402_0,0.637786509
Pat2Test_403_0,0.389372831
Pat2Test_404_0,0.63194635
Pat2Test_405_0,0.495779134
Pat2Test_406_0,0.554305477
Pat2Test_407_0,0.346183517
Pat2Test_408_0,0.099553836
Pat2Test_409_0,0.48566684
Pat2Test_410_0,0.170846143
Pat2Test_411_0,0.310976325
Pat2Test_412_0,0.26261036
Pat2Test_413_0,0.429331906
Pat2Test_414_0,0.416593311
Pat2Test_415_0,0.387208316
Pat2Test_416_0,0.445092169
Pat2Test_417_0,0.609516126
Pat2Test_418_0,0.388024153
Pat2Test_419_0,0.416074984
Pat2Test_420_0,0.425312181
Pat2Test_421_0,0.405302248
Pat2Test_422_0,0.617038277
Pat2Test_423_0,0.421823515
Pat2Test_424_0,0.613078306
Pat2Test_425_0,0.71565658
Pat2Test_426_0,0.502774129
Pat2Test_427_0,0.714203934
Pat2Test_428_0,0.637463295
Pat2Test_429_0,0.608000322
Pat2Test_430_0,0.416320866
Pat2Test_431_0,0.225357773
Pat2Test_432_0,0.676258809
Pat2Test_433_0,0.681012563
Pat2Test_434_0,0.640414711
Pat2Test_435_0,0.779319807
Pat2Test_436_0,0.428950344
Pat2Test_437_0,0.402199858
Pat2Test_438_0,0.476161073
Pat2Test_439_0,0.540150676
Pat2Test_440_0,0.389830918
Pat2Test_441_0,0.502774129
Pat2Test_442_0,0.711603529
Pat2Test_443_0,0.790769328
Pat2Test_444_0,0.676502897
Pat2Test_445_0,0.438153625
Pat2Test_446_0,0.437658309
Pat2Test_447_0,0.419484084
Pat2Test_448_0,0.335774253
Pat2Test_449_0,0.273429138
Pat2Test_450_0,0.693116935
Pat2Test_451_0,0.458288777
Pat2Test_452_0,0.762808955
Pat2Test_453_0,0.48731562
Pat2Test_454_0,0.668571199
Pat2Test_455_0,0.617031647
Pat2Test_456_0,0.39969874
Pat2Test_457_0,0.353500791
Pat2Test_458_0,0.215375118
Pat2Test_459_0,0.49936032
Pat2Test_460_0,0.597604697
Pat2Test_461_0,0.702925738
Pat2Test_462_0,0.194023681
Pat2Test_463_0,0.777981902
Pat2Test_464_0,0.533704033
Pat2Test_465_0,0.575302651
Pat2Test_466_0,0.430286274
Pat2Test_467_0,0.346342906
Pat2Test_468_0,0.477319666
Pat2Test_469_0,0.547145028
Pat2Test_470_0,0.291939128
Pat2Test_471_0,0.368659811
Pat2Test_472_0,0.389862374
Pat2Test_473_0,0.502774129
Pat2Test_474_0,0.502774129
Pat2Test_475_0,0.352334802
Pat2Test_476_0,0.373421974
Pat2Test_477_0,0.295973975
Pat2Test_478_0,0.733161486
Pat2Test_479_0,0.220863112
Pat2Test_480_0,0.756681991
Pat2Test_481_0,0.468502939
Pat2Test_482_0,0.420792778
Pat2Test_483_0,0.581601707
Pat2Test_484_0,0.299381859
Pat2Test_485_0,0.46354004
Pat2Test_486_0,0.687262143
Pat2Test_487_0,0.176652736
Pat2Test_488_0,0.697922101
Pat2Test_489_0,0.19453565
Pat2Test_490_0,0.57434221
Pat2Test_491_0,0.502774129
Pat2Test_492_0,0.643303713
Pat2Test_493_0,0.307640234
Pat2Test_494_0,0.407551276
Pat2Test_495_0,0.768595551
Pat2Test_496_0,0.447049595
Pat2Test_497_0,0.463001193
Pat2Test_498_0,0.887764817
Pat2Test_499_0,0.313933862
Pat2Test_500_0,0.426380679
Pat2Test_501_0,0.232024428
Pat2Test_502_0,0.390934729
Pat2Test_503_0,0.114311176
Pat2Test_504_0,0.449879632
Pat2Test_505_0,0.661073079
Pat2Test_506_0,0.490268322
Pat2Test_507_0,0.607465798
Pat2Test_508_0,0.457945183
Pat2Test_509_0,0.487043052
Pat2Test_510_0,0.398082813
Pat2Test_511_0,0.502774129
Pat2Test_512_0,0.112304969
Pat2Test_513_0,0.633433487
Pat2Test_514_0,0.654707054
Pat2Test_515_0,0.264301564
Pat2Test_516_0,0.429158963
Pat2Test_517_0,0.168779409
Pat2Test_518_0,0.769435277
Pat2Test_519_0,0.440550463
Pat2Test_520_0,0.362366066
Pat2Test_521_0,0.11227672
Pat2Test_522_0,0.381664697
Pat2Test_523_0,0.581112099
Pat2Test_524_0,0.311599252
Pat2Test_525_0,0.454551934
Pat2Test_526_0,0.419417176
Pat2Test_527_0,0.398539878
Pat2Test_528_0,0.722618806
Pat2Test_529_0,0.434697324
Pat2Test_530_0,0.76931771
Pat2Test_531_0,0.409068471
Pat2Test_532_0,0.457363673
Pat2Test_533_0,0.44559605
Pat2Test_534_0,0.779873364
Pat2Test_535_0,0.515407971
Pat2Test_536_0,0.443563875
Pat2Test_537_0,0.502774129
Pat2Test_538_0,0.50376291
Pat2Test_539_0,0.374361629
Pat2Test_540_0,0.524922151
Pat2Test_541_0,0.537536481
Pat2Test_542_0,0.300688244
Pat2Test_543_0,0.453685265
Pat2Test_544_0,0.605417925
Pat2Test_545_0,0.657385456
Pat2Test_546_0,0.56975181
Pat2Test_547_0,0.210017256
Pat2Test_548_0,0.324673023
Pat2Test_549_0,0.642474781
Pat2Test_550_0,0.53751115
Pat2Test_551_0,0.641459076
Pat2Test_552_0,0.674838152
Pat2Test_553_0,0.233324972
Pat2Test_554_0,0.685963774
Pat2Test_555_0,0.472324323
Pat2Test_556_0,0.388761704
Pat2Test_557_0,0.748663104
Pat2Test_558_0,0.502774129
Pat2Test_559_0,0.509159807
Pat2Test_560_0,0.407604037
Pat2Test_561_0,0.68298039
Pat2Test_562_0,0.507813796
Pat2Test_563_0,0.7810917
Pat2Test_564_0,0.517757284
Pat2Test_565_0,0.660654989
Pat2Test_566_0,0.502774129
Pat2Test_567_0,0.506250417
Pat2Test_568_0,0.309622873
Pat2Test_569_0,0.344308869
Pat2Test_570_0,0.424206824
Pat2Test_571_0,0.264458666
Pat2Test_572_0,0.175182672
Pat2Test_573_0,0.811321059
Pat2Test_574_0,0.668189327
Pat2Test_575_0,0.269282117
Pat2Test_576_0,0.347592339
Pat2Test_577_0,0.550445009
Pat2Test_578_0,0.751410257
Pat2Test_579_0,0.247328065
Pat2Test_580_0,0.228799649
Pat2Test_581_0,0.353479395
Pat2Test_582_0,0.267341766
Pat2Test_583_0,0.803635285
Pat2Test_584_0,0.266999153
Pat2Test_585_0,0.384177944
Pat2Test_586_0,0.30130498
Pat2Test_587_0,0.66201275
Pat2Test_588_0,0.343457284
Pat2Test_589_0,0.694159992
Pat2Test_590_0,0.435171843
Pat2Test_591_0,0.711488192
Pat2Test_592_0,0.362870176
Pat2Test_593_0,0.676196474
Pat2Test_594_0,0.347523655
Pat2Test_595_0,0.324288629
Pat2Test_596_0,0.424567212
Pat2Test_597_0,0.70142733
Pat2Test_598_0,0.742667087
Pat2Test_599_0,0.502774129
Pat2Test_600_0,0.633416581
Pat2Test_601_0,0.477876714
Pat2Test_602_0,0.480806019
Pat2Test_603_0,0.47052495
Pat2Test_604_0,0.74791507
Pat2Test_605_0,0.797019362
Pat2Test_606_0,0.219728404
Pat2Test_607_0,0.418240965
